Employee No,Employee Name,Gender,Leaving Reason,Previous Employer,Latest  Available Rating,Profit Center,Employee Location,People Group,Employee Category,Supervisor name,Month of termination,Tenure_till_18,Tenure_till_18_in_months,Tenure_till_18_in_years,Age_16_18,Current Status16_18,Is promoted,Total Hours,Total Available Hours,Work Hours,Leave Hours,Training Hours,BD Hours,NC Hours,Utilization%,Utilization Status,Utilization%-Mean
12,Revkah Stephie,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,SVP/VP,Rochette Jilleen,Unknown,13.330869217027043,159.97043060432452,13.0,0.0,Active,No,4168.0,3730.0,2860.0,380.0,58.0,859.0,531.0,76.56580012976197,Efficient,76.56580012976197
13,Cacilia Aimee,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,SVP/VP,Idalina Lauraine,Unknown,13.2459940998104,158.95192919772478,13.0,0.0,Active,No,4168.0,3642.0,501.0,408.0,118.0,2279.0,1856.5,13.692541794486884,Low,13.692541794486884
14,Tallia Eyde,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,SVP/VP,Idalina Lauraine,Unknown,13.084457586398077,157.01349103677694,13.0,0.0,Active,No,4168.0,3782.0,722.0,384.0,2.0,2051.0,1273.0,19.098951411913678,Low,19.098951411913678
15,Peria Maryjo,M,Career Growth,flimbo,3.0,PC - 3,Location 2,Client Service Staff,Serving Notice Period,Barbee Joey,8,11.504685243365708,138.0562229203885,12.0,37.0,Resigned,No,872.0,766.0,36.0,104.0,2.0,0.0,746.0,4.699738903394255,Low,4.699738903394255
16,Zaria Dawn,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Cacilia Aimee,Unknown,12.331533159476239,147.97839791371487,12.0,0.0,Active,No,4168.0,3819.5,1514.0,288.0,60.5,2555.0,11.5,39.6963290778275,Below Avg,39.6963290778275
17,Trudey Lissi,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Rochette Jilleen,Unknown,12.246658042259595,146.95989650711513,12.0,0.0,Active,No,4168.0,3764.0,626.0,352.0,52.0,0.0,3210.0,16.620420562858563,Low,16.620420562858563
18,Marina Garnette,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Cacilia Aimee,Unknown,12.161782925042951,145.94139510051542,12.0,0.0,Active,No,4168.0,3779.0,249.0,352.0,37.0,551.0,3029.0,6.596134453781513,Low,6.596134453781513
19,Cordey Sofia,F,Employee Transfer,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Awaiting Termination,Cacilia Aimee,4,11.915371294413985,142.98445553296781,12.0,36.0,Resigned,No,4168.0,3700.0,378.5,468.0,0.0,20.0,3677.0,10.109919276387174,Low,10.109919276387174
20,Leonanie Lexine,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Orsa Margeaux,Unknown,11.751096873994674,141.01316248793609,12.0,0.0,Active,No,4168.0,3725.0,4431.020000000001,350.0,93.0,0.0,16.0,118.9492844368032,Over Utilization,118.9492844368032
21,Alvinia Ede,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,SVP/VP,Rochette Jilleen,Unknown,11.66622175677803,139.99466108133637,12.0,0.0,Active,Yes,4168.0,3928.0,1749.0,200.0,40.0,2187.0,34.0,44.140832503320055,Below Avg,44.140832503320055
22,Marys Essy,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Annnora Gabrielle,Unknown,11.332197101925432,135.9863652231052,11.0,0.0,Active,No,4168.0,3792.0,1636.0,376.0,0.0,0.0,2273.0,43.246822033898304,Below Avg,43.246822033898304
23,Em Cacilie,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 8,Client Service Staff,Confirmed Staff,Jordanna Danya,Unknown,11.247321984708789,134.96786381650546,11.0,0.0,Active,Yes,4168.0,3681.0,1401.0,476.0,11.0,2292.0,8.0,38.09730745930958,Below Avg,38.09730745930958
24,Rina Debee,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Rochette Jilleen,Unknown,11.247321984708789,134.96786381650546,11.0,0.0,Active,No,4168.0,3702.0,135.5,408.0,58.0,896.0,2715.5,3.6452094235336148,Low,3.6452094235336148
25,Oriana Tabby,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 4,Client Service Staff,Confirmed Staff,Cacilia Aimee,Unknown,11.162446867492145,133.94936240990575,11.0,0.0,Active,No,4168.0,3654.5,1166.75,448.0,65.5,730.0,1870.75,31.863352816439487,Below Avg,31.863352816439487
26,Marney Anderea,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 2,Client Service Staff,Confirmed Staff,Revkah Stephie,Unknown,11.000910354079824,132.0109242489579,11.0,0.0,Active,No,4168.0,3573.5,2627.0,528.0,66.5,4.0,978.5,73.17893727572033,Above Avg,73.17893727572033
27,Danette Melinda,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 4,Client Service Staff,Confirmed Staff,Daryl Natalina,Unknown,11.000910354079824,132.0109242489579,11.0,0.0,Active,No,4168.0,3628.5,1246.0,507.0,32.5,8.0,2406.5,34.214034886201404,Below Avg,34.214034886201404
28,Kynthia Hildy,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 2,Client Service Staff,Confirmed Staff,Cacilia Aimee,Unknown,10.666885699227226,128.00262839072673,11.0,0.0,Active,No,4168.0,3662.0,1600.5,408.0,98.0,610.0,1489.5,43.05233809079825,Below Avg,43.05233809079825
29,Cynthia Leonora,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Kippy Marquita,Unknown,10.332861044374628,123.99433253249553,10.0,0.0,Active,No,4168.0,3596.0,1569.0,456.0,116.0,94.0,2225.0,43.12775472512229,Below Avg,43.12775472512229
30,Kristina Alleen,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Marina Garnette,Unknown,9.916699179312374,119.00039015174849,10.0,0.0,Active,No,4168.0,3752.5,655.0,392.0,23.5,910.0,2331.5,17.49240135179877,Low,17.49240135179877
31,Nikolia Shirl,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Kalindi Toma,Unknown,9.916699179312374,119.00039015174849,10.0,0.0,Active,No,4168.0,3871.0,1526.0,288.0,9.0,322.0,2044.0,39.61725306011735,Below Avg,39.61725306011735
32,Gisella Nickie,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Jordanna Danya,Unknown,9.83182406209573,117.98188874514877,10.0,0.0,Active,Yes,4168.0,3739.0,1491.5,368.0,61.0,0.0,2814.0,39.90910378492212,Below Avg,39.90910378492212
33,Blondy Tatiania,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Irene Candis,Unknown,9.83182406209573,117.98188874514877,10.0,0.0,Active,No,4168.0,3014.5,1320.0,1100.0,53.5,6.0,1696.5,42.48889897474284,Below Avg,42.48889897474284
34,Beverlee Giana,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Support Staff,Confirmed Staff,Idalina Lauraine,Unknown,9.330787079816835,111.96944495780201,9.0,0.0,Active,No,4168.0,3720.0,0.0,448.0,0.0,0.0,3720.0,0.0,Low,96.0
35,Alika Malia,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 2,Client Service Staff,Confirmed Staff,Kynthia Hildy,Unknown,9.330787079816835,111.96944495780201,9.0,0.0,Active,No,4168.0,2492.0,1609.5,1648.0,28.0,0.0,1058.5,58.0190161698595,Above Avg,58.0190161698595
36,Charlotta Marena,F,Personal,avindu,3.0,PC - 6,Location 7,Client Service Staff,Serving Notice Period,Daryl Natalina,8,7.5812645023511775,90.97517402821413,8.0,37.0,Resigned,No,848.0,768.0,688.0,80.0,0.0,0.0,80.0,89.58333333333334,Efficient,89.58333333333334
37,Terza Gwyn,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Annnora Gabrielle,Unknown,8.832488004544926,105.9898560545391,9.0,0.0,Active,Yes,4168.0,3754.0,1643.0,304.0,110.0,136.0,2081.0,43.84381794792982,Below Avg,43.84381794792982
38,Genvieve Celeste,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 4,Client Service Staff,Confirmed Staff,Oriana Tabby,Unknown,8.75035079433527,105.00420953202325,9.0,0.0,Active,No,4168.0,3590.5,2147.0,524.0,53.5,20.0,1464.0,59.62782116337152,Above Avg,59.62782116337152
39,Kim Consuela,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Support Staff,Confirmed Staff,Cacilia Aimee,Unknown,8.75035079433527,105.00420953202325,9.0,0.0,Active,No,4168.0,3557.5,0.0,592.0,18.5,0.0,4715.5,0.0,Low,96.0
40,Nerissa Jackquelin,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Ardys Katerine,Unknown,8.75035079433527,105.00420953202325,9.0,0.0,Active,No,4168.0,3648.0,1976.0300000000002,496.0,24.0,0.0,2183.5,53.81414793394792,Above Avg,53.81414793394792
41,Frances Mignonne,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Daryl Natalina,Unknown,8.75035079433527,105.00420953202325,9.0,0.0,Active,No,4168.0,3506.0,1395.0,508.0,154.0,0.0,2253.0,39.90072782240678,Below Avg,39.90072782240678
42,Kimberli Shandra,M,Career Growth,Unknown,3.0,PC - 3,Location 1,Client Service Staff,Serving Notice Period,Marina Garnette,7,7.000828216869614,84.00993860243537,7.0,30.0,Resigned,No,544.0,352.0,336.0,192.0,0.0,0.0,40.0,95.45454545454545,Efficient,95.45454545454545
43,Moira Vivien,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 2,Client Service Staff,Confirmed Staff,Kynthia Hildy,Unknown,8.580600559901983,102.9672067188238,9.0,0.0,Active,No,4168.0,3717.5,2265.0,328.0,122.5,326.0,1238.5,60.364604625722436,Above Avg,60.364604625722436
44,Erminie Ericka,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Alvinia Ede,Unknown,8.580600559901983,102.9672067188238,9.0,0.0,Active,Yes,4168.0,3838.5,1283.5,310.0,19.5,2551.0,24.0,33.46583490241598,Below Avg,33.46583490241598
45,Jenny Kasey,F,Career Growth,socimbee,3.0,PC - 5,Location 1,Client Service Staff,Awaiting Termination,Orsa Margeaux,6,7.41151426791789,88.93817121501468,7.0,33.0,Resigned,No,2528.0,2216.0,2332.0,304.0,8.0,0.0,0.0,105.98370927318297,Over Utilization,105.98370927318297
46,Kirsti Vikky,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Irene Candis,Unknown,8.161700787832741,97.94040945399288,8.0,0.0,Active,No,2560.0,2212.0,1688.0,328.0,20.0,0.0,524.0,63.00533552226554,Above Avg,63.00533552226554
47,Annmaria Alissa,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Dore Natalya,Unknown,8.085039391637062,97.02047269964476,8.0,0.0,Active,No,4168.0,3737.0,2288.0,544.0,111.0,401.0,758.0,61.430267279923186,Above Avg,61.430267279923186
48,Philippe Kizzie,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Daryl Natalina,Unknown,8.000164274420419,96.00197129304502,8.0,0.0,Active,No,4168.0,3720.5,1024.5,408.0,39.5,1396.5,1401.5,27.546512889187152,Below Avg,27.546512889187152
49,Orelee Hanna,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 9,Client Service Staff,Confirmed Staff,Marleah Bernadina,Unknown,7.918027064210764,95.01632477052917,8.0,0.0,Active,Yes,4168.0,3842.0,1526.0,320.0,6.0,0.0,2342.0,39.737777136859634,Below Avg,39.737777136859634
50,Leta Evangeline,M,Personal,homolium,3.0,PC - 2,Location 7,Client Service Staff,Awaiting Termination,Tallia Eyde,9,7.334852871722212,88.01823446066655,7.0,33.0,Resigned,No,3072.0,2648.0,715.0,300.0,124.0,120.0,1981.0,25.769182859990032,Below Avg,25.769182859990032
51,Leilah Nanni,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Revkah Stephie,Unknown,7.83315194699412,93.99782336392944,8.0,0.0,Active,Yes,4168.0,3805.0,4613.0,352.0,11.0,0.0,23.0,121.48910983670972,Over Utilization,121.48910983670972
52,Kathye Edna,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Tallia Eyde,Unknown,7.83315194699412,93.99782336392944,8.0,0.0,Active,No,4168.0,3924.0,362.0,232.0,12.0,0.0,3562.0,9.132716553155966,Low,9.132716553155966
53,Rebekkah Brigid,M,Career Growth,Unknown,3.0,PC - 1,Location 3,Client Service Staff,Serving Notice Period,Em Cacilie,12,6.58740425881435,79.0488511057722,7.0,31.0,Resigned,No,88.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,96.0
54,Anallese Loleta,M,Personal,esose,2.0,PC - 2,Location 7,Client Service Staff,Serving Notice Period,Philippe Kizzie,12,6.505267048604694,78.06320458325634,7.0,34.0,Resigned,No,1520.0,1362.0,865.0,112.0,46.0,472.0,84.0,63.50954478707783,Above Avg,63.50954478707783
55,Timmy Corene,M,Career Growth,Unknown,2.0,PC - 6,Location 3,Client Service Staff,Serving Notice Period,Lindy Marguerite,9,6.2533796039617515,75.04055524754102,6.0,28.0,Resigned,No,1008.0,792.0,440.0,216.0,0.0,0.0,352.0,55.55555555555556,Above Avg,55.55555555555556
56,Madelyn Shane,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Dottie Bidget,Unknown,7.83315194699412,93.99782336392944,8.0,0.0,Active,No,4168.0,3578.0,3365.0,552.0,38.0,0.0,538.0,93.99324647307473,Efficient,93.99324647307473
57,Celka Dorree,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff (Part-Time 4 Hours),Marina Garnette,Unknown,7.5812645023511775,90.97517402821413,8.0,0.0,Active,No,4168.0,1320.0,607.5,2824.0,24.0,0.0,728.5,46.02272727272727,Below Avg,46.02272727272727
58,Tallulah Kassia,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Kevin Perez,Unknown,7.5812645023511775,90.97517402821413,8.0,0.0,Active,No,4168.0,2722.0,1681.0,1332.0,114.0,715.0,503.0,58.684146476380135,Above Avg,58.684146476380135
59,Aimil Latisha,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Annnora Gabrielle,Unknown,7.5812645023511775,90.97517402821413,8.0,0.0,Active,No,4168.0,3498.5,2845.0,556.0,113.5,0.0,1417.5,81.35945119176078,Efficient,81.35945119176078
60,Pamelina Shalna,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Secondee-Outward-Without Pay,Daryl Natalina,Unknown,7.499127292141522,89.98952750569826,7.0,0.0,Active,No,3048.0,2876.0,305.0,128.0,44.0,0.0,2635.0,8.794878319607662,Low,8.794878319607662
61,Jillian Lorelei,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Daryl Natalina,Unknown,7.499127292141522,89.98952750569826,7.0,0.0,Active,No,4168.0,3800.0,2178.1400000000003,288.0,80.0,914.5,851.56,57.266367094668894,Above Avg,57.266367094668894
62,Madella Ann-Marie,M,Career Growth,venible,Unknown,PC - 3,Location 4,Client Service Staff,Secondee-Outward-Without Pay,Oriana Tabby,Unknown,6.414916117374073,76.97899340848888,6.0,0.0,Resigned,No,1056.0,816.0,492.0,224.0,16.0,0.0,372.0,60.29411764705882,Above Avg,60.29411764705882
63,Tarah Sean,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Support Staff,Confirmed Staff,Kalindi Toma,Unknown,7.332114964715223,87.98537957658267,7.0,0.0,Active,No,4168.0,3542.5,0.0,624.0,1.5,0.0,3558.5,0.0,Low,96.0
64,Chiarra Constancy,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Support Staff,Confirmed Staff,Daryl Natalina,Unknown,7.332114964715223,87.98537957658267,7.0,0.0,Active,No,4168.0,3651.0,0.0,508.0,9.0,0.0,3689.0,0.0,Low,96.0
65,Hildagarde Erina,M,Career Growth,Unknown,3.0,PC - 3,Location 1,Client Service Staff,Serving Notice Period,Rosabel Saidee,9,5.8344798318925095,70.01375798271012,6.0,28.0,Resigned,No,896.0,757.0,392.0,136.0,3.0,0.0,357.0,51.78335535006605,Above Avg,51.78335535006605
66,Leela Jsandye,F,Personal,monous,3.0,PC - 3,Location 2,Client Service Staff,Awaiting Termination,Vonni Bethena,10,6.748940772226671,80.98728926672005,7.0,30.0,Resigned,No,3168.0,2804.5,1927.5,328.0,35.5,0.0,965.0,59.46395377200582,Above Avg,59.46395377200582
67,Ruthe Bellina,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 9,Client Service Staff,Confirmed Staff,Lenora Nydia,Unknown,7.1623647302819355,85.94837676338322,7.0,0.0,Active,No,4168.0,3783.0,2177.0,320.0,65.0,0.0,1627.0,57.97691008135074,Above Avg,57.97691008135074
68,Dannie Clotilda,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Dore Natalya,Unknown,7.1623647302819355,85.94837676338322,7.0,0.0,Active,No,4168.0,3673.0,2608.0,360.0,135.0,114.0,1360.5,71.10065996130015,Above Avg,71.10065996130015
69,Lee Alfie,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Lindy Marguerite,Unknown,7.1623647302819355,85.94837676338322,7.0,0.0,Active,No,4168.0,2308.0,960.0,1832.0,28.0,272.0,1100.0,42.77427821522309,Below Avg,42.77427821522309
70,Imelda Madalena,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 9,Client Service Staff,Confirmed Staff,Lenora Nydia,Unknown,7.085703334086258,85.0284400090351,7.0,0.0,Active,No,4168.0,3711.5,1810.0,406.0,50.5,1221.5,699.0,49.03904873786419,Below Avg,49.03904873786419
71,Klarrisa Theresita,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Philippe Kizzie,Unknown,7.085703334086258,85.0284400090351,7.0,0.0,Active,No,4168.0,3549.1,2175.0,576.0,42.9,0.0,1398.35,61.21092789703407,Above Avg,61.21092789703407
72,Agata Theodosia,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Cacilia Aimee,Unknown,7.000828216869614,84.00993860243537,7.0,0.0,Active,Yes,4168.0,4046.0,354.0,120.0,2.0,2454.0,1238.0,8.7368714428211,Low,8.7368714428211
73,Cortney Wanids,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Zaria Dawn,Unknown,7.000828216869614,84.00993860243537,7.0,0.0,Active,No,4168.0,3633.0,2004.0,376.0,159.0,184.0,1743.0,55.212722754273244,Above Avg,55.212722754273244
74,Ariel Jaimie,M,Career Growth,Unknown,3.0,PC - 1,Location 3,Client Service Staff,Serving Notice Period,Ardys Katerine,5,5.169168429194302,62.03002115033163,5.0,28.0,Resigned,No,272.0,224.0,168.0,48.0,0.0,0.0,72.0,75.0,Above Avg,75.0
75,Norene Ethelyn,M,Career Growth,exicious,Unknown,PC - 3,Location 2,Client Service Staff,Awaiting Termination,Guenevere Florida,11,6.58740425881435,79.0488511057722,7.0,29.0,Resigned,No,3408.0,3126.0,3211.5,264.0,18.0,0.0,225.0,102.85489945478524,Over Utilization,102.85489945478524
76,Goldarina Cecilia,M,Career Growth,janu,Unknown,PC - 2,Location 7,Client Service Staff,Awaiting Termination,Myrtie Brana,4,7.000828216869614,84.00993860243537,7.0,33.0,Resigned,No,4168.0,3384.0,2201.5,704.0,80.0,121.0,1074.5,64.99102277490569,Above Avg,64.99102277490569
77,Bernice Andrea,M,Job Related,idiombee,Unknown,PC - 1,Location 6,Client Service Staff,Awaiting Termination,Rochette Jilleen,Unknown,6.918691006659959,83.0242920799195,7.0,0.0,Active,Yes,4168.0,3621.5,851.0,544.0,2.5,24.0,2799.0,23.414760411348773,Low,23.414760411348773
78,Grissel Kirsteni,F,Career Growth,Unknown,3.0,PC - 2,Location 7,Client Service Staff,Serving Notice Period,Sile Lorrie,8,5.254043546410946,63.04852255693135,5.0,26.0,Resigned,No,768.0,709.0,629.0,40.0,19.0,0.0,96.0,88.71650211565584,Efficient,88.71650211565584
79,Jaime Cordie,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 7,Client Service Staff,Confirmed Staff,Terza Gwyn,Unknown,6.833815889443315,82.00579067331978,7.0,0.0,Active,Yes,4168.0,3562.5,3082.0,576.0,29.5,0.0,572.0,86.51271727311408,Efficient,86.51271727311408
80,Katuscha Pru,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Jordanna Danya,Unknown,6.833815889443315,82.00579067331978,7.0,0.0,Active,No,4168.0,2349.5,166.0,1780.0,38.5,228.0,1971.5,10.096146566734802,Low,10.096146566734802
81,Dolley Lolly,F,Career Growth,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Awaiting Termination,Rosabel Saidee,1,6.6722793760309935,80.06735251237193,7.0,29.0,Resigned,No,3672.0,3273.0,2644.0,384.0,15.0,2.0,983.0,80.4519379874352,Efficient,80.4519379874352
82,Tiena Hatti,Unknown,Unknown,Unknown,Unknown,PC - 3,Location 1,Client Service Staff,Confirmed Staff,Tallia Eyde,Unknown,6.75167867923366,81.02014415080392,7.0,0.0,Active,No,4168.0,4099.0,4575.0,56.0,13.0,0.0,0.0,111.72845944298396,Over Utilization,111.72845944298396
83,Jolyn Briney,Unknown,Unknown,Unknown,Unknown,PC - 2,Location 9,Client Service Staff,Confirmed Staff,Marleah Bernadina,Unknown,6.75167867923366,81.02014415080392,7.0,0.0,Active,Yes,4168.0,3556.0,2754.9,412.0,200.0,1634.0,290.0,77.64407895210502,Efficient,77.64407895210502
84,Kary Mindy,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff (Part-Time 6 Hours),Madden Galvan,Unknown,6.75167867923366,81.02014415080392,7.0,0.0,Active,No,3766.0,1503.0,1393.0,2632.0,3.0,0.0,144.0,95.45576038677724,Efficient,95.45576038677724
85,Trix Flori,M,Personal,Unknown,3.0,PC - 1,Location 3,Client Service Staff,Serving Notice Period,Kippy Marquita,4,4.835143774341704,58.02172529210045,5.0,29.0,Resigned,No,48.0,48.0,8.0,0.0,0.0,0.0,40.0,16.666666666666664,Low,16.666666666666664
86,Claudia Meaghan,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 8,Client Service Staff,Confirmed Staff,Erminie Ericka,Unknown,6.75167867923366,81.02014415080392,7.0,0.0,Active,No,4168.0,3388.0,2852.0,720.0,60.0,560.0,80.0,83.62308787634349,Efficient,83.62308787634349
87,Dacie Lucia,F,Others,Unknown,3.0,PC - 3,Location 2,Client Service Staff,Serving Notice Period,Kynthia Hildy,2,5.66746750446621,68.00961005359453,6.0,29.0,Resigned,No,1904.0,1579.0,1430.0,304.0,21.0,0.0,181.0,90.56364787840405,Efficient,90.56364787840405
88,Dionne Ronna,Unknown,Unknown,Unknown,Unknown,PC - 1,Location 3,Client Service Staff,Confirmed Staff,Em Cacilie,Unknown,6.75167867923366,81.02014415080392,7.0,0.0,Active,No,4168.0,3547.5,2246.5,576.0,44.5,0.0,1317.0,62.51721906663111,Above Avg,62.51721906663111
